 1,8.2,11.3,14:50,5.2,4:30,10.1,0.0,0.0,20.0,57.9,20:30,SW
 2,5.9,9.2,0:10,2.6,6:50,12.3,0.0,0.0,20.6,54.7,6:50,NNW
 3,9.1,13.8,20:40,6.7,0:10,9.2,0.0,0.0,12.1,46.7,20:40,SSW
 4,10.9,13.6,10:50,8.2,20:20,7.4,0.0,---,15.4,41.8,13:30,SSE
 5,10.4,13.4,9:10,7.1,22:00,7.9,0.0,---,16.1,40.2,16:40,SSW
 6,11.8,15.8,15:10,8.2,0:10,6.5,0.0,0.0,28.0,72.4,21:20,WSW
 7,12.3,17.2,15:40,9.2,4:00,6.0,0.0,0.0,17.9,43.5,19:00,NW
 8,8.8,12.8,15:10,3.3,23:30,9.5,0.0,0.0,32.3,69.2,10:40,W
 9,2.9,7.3,12:30,-0.4,19:00,15.4,0.0,---,28.2 112.7,23:50,WNW
10,-0.2,0.3,3:20,-0.7,18:50,18.5,0.0,0.0,26.9 114.3,2:40,N
11,2.2,5.9,17:30,-1.1,7:00,16.1,0.0,0.0,6.8,38.6,23:00,W
12,8.4,11.4,16:20,5.0,0:10,9.9,0.0,0.0,11.7,35.4,0:30,SW
13,8.3,9.9,11:50,6.7,23:50,10.0,0.0,0.0,17.1,69.2,23:50,S
14,8.4,11.4,14:40,5.4,23:50,9.9,0.0,---,30.9,69.2,0:50,SSW
15,6.6,10.1,15:50,4.5,7:30,11.7,0.0,0.0,30.1,66.0,17:50,W
16,8.2,12.8,15:50,5.6,0:40,10.1,0.0,0.0,24.1,57.9,18:40,S
17,9.4,12.6,14:50,6.4,22:40,8.8,0.0,0.0,26.6,69.2,5:50,S
18,5.6,7.7,6:50,4.2,10:50,12.8,0.0,---,40.2,83.7,12:50,WNW
19,7.4,11.3,17:00,4.3,3:40,10.9,0.0,0.2,30.7,69.2,0:30,WSW
20,8.9,11.2,13:30,6.4,8:00,9.4,0.0,0.0,24.1,64.4,12:10,SSW
21,7.7,11.0,15:50,5.7,5:30,10.6,0.0,0.0,31.2,64.4,7:10,W
22,8.3,13.7,16:00,5.6,7:10,10.0,0.0,0.0,17.4,51.5,2:20,NNW
23,11.2,14.8,15:00,8.1,0:40,7.1,0.0,0.0,11.9,33.8,16:10,S
24,12.8,15.6,16:00,10.6,0:20,5.5,0.0,0.0,13.8,41.8,10:40,S
25,13.5,16.6,15:00,10.7,0:30,4.8,0.0,0.0,24.1,66.0,6:00,SSW
26,13.1,18.0,14:40,9.7,6:40,5.2,0.0,0.0,20.4,53.1,1:40,N
27,12.8,16.5,15:20,7.7,23:40,5.5,0.0,0.2,17.9,53.1,22:10,N
28,7.6,9.8,16:40,6.0,6:20,10.7,0.0,0.0,27.4,62.8,0:30,N
29,11.4,14.3,11:50,7.6,0:10,6.9,0.0,0.0,31.4,64.4,16:50,N
30,13.6,16.5,15:40,11.4,6:40,4.7,0.0,0.0,38.0,69.2,6:20,N
