                    MONTHLY CLIMATOLOGICAL SUMMARY for JAN. 2015                    
                                                                                    
NAME: Nea            ELEV: 90   m     LAT: 38deg 06min     LONG: 24deg 00min
                                                                                    
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr) 
                                                                                    
                                                          AVG
     MEAN                               MAX  MIN          WIND                 DOM
 DAY TEMP  HIGH   TIME   LOW   TIME     RH   RH    RAIN   SPEED HIGH   TIME    DIR
------------------------------------------------------------------------------------
 01   3.8   4.8   00:00  2.4   19:10     94   77   6.6   16.2   57.9   04:20   NNW
 02   4.2   5.3   10:40  2.7   22:20     78   54   0.0    8.3   35.4   04:00    NW
 03   5.8  11.3   15:30 -0.2   07:10     84   49   0.0    2.2   24.1   17:10   NNW
 04  10.9  14.6   13:40  5.1   01:00     84   63   0.6    4.6   30.6   09:40   WSW
 05   5.5   9.2   00:50  1.5   23:50     93   57   4.4   11.1   41.8   22:00   NNW
 06   2.9   5.8   14:10  0.6   23:30     94   58   2.0   11.5   48.3   22:50    NW
 07   2.8   5.7   14:00  0.8   00:00     92   50   0.8   10.2   49.9   12:00    NW
 08   3.0   5.1   15:20  1.3   07:00     92   72   1.4    3.0   16.1   05:00    NW
 09   5.3   8.9   12:40  1.9   00:40     90   64   0.0    2.8   17.7   12:20    NW
 10   8.1  14.2   15:20  3.4   00:00     93   64   0.0    1.4   11.3   13:50     W
 11  12.7  18.7   11:50  7.3   06:40     93   52   0.0    3.5   24.1   13:10     W
 12  10.0  17.1   10:50  5.1   20:00     93   62   9.6    8.4   49.9   15:40   NNW
 13   8.5  10.5   14:40  4.9   00:10     88   51   1.0   15.9   56.3   13:20   NNW
 14   8.7  13.2   14:00  5.4   23:50     86   41   0.0    4.9   25.7   00:00   NNW
 15   9.1  14.8   12:50  4.1   04:00     92   40   0.0    2.9   30.6   16:00   NNW
 16   9.8  14.1   13:20  6.1   05:20     78   55   0.0    3.7   25.7   14:10   WNW
 17   9.5  13.5   14:40  6.8   05:20     90   61   0.0    2.4   16.1   22:40     W
 18  11.1  15.3   14:00  6.1   06:00     96   71   1.2    2.8   27.4   13:50     S
 19  14.2  17.1   12:30 12.3   03:50     93   68   0.0    3.9   32.2   12:00   SSW
 20  14.5  18.0   13:40 11.6   07:00     90   65   0.0    3.8   30.6   03:50    SE
 21  14.1  17.6   13:20 10.7   23:30     96   72   0.0    2.1   19.3   13:40   ESE
 22  13.4  16.8   13:00 10.2   04:10     97   78   0.2    2.1   19.3   13:10   ESE
 23  15.1  17.9   13:00 10.3   23:50     90   44   1.0    5.6   35.4   23:20    SW
 24  11.6  14.1   14:20  9.1   04:00     91   69   1.8    3.7   38.6   00:00   SSW
 25  12.1  16.6   13:40  8.4   23:30     96   66   4.6    3.2   29.0   03:40   SSW
 26  10.3  14.7   12:30  7.4   06:10     97   68   7.2    2.1   33.8   18:30     W
 27   8.7  11.4   15:30  5.9   23:00     97   77   0.6    1.2   20.9   06:30   WSW
 28   8.8  12.8   13:10  4.7   04:40     96   70   3.0    1.1   14.5   14:10     E
 29  10.0  12.4   13:40  8.9   00:30     97   84  20.0    1.1   11.3   13:50    NW
 30  11.6  16.3   13:20  6.7   05:20     97   66   0.0    4.1   37.0   21:20   SSW
 31  15.4  18.1   11:40 13.1   00:20     83   69   0.0    9.2   46.7   04:00    SW
------------------------------------------------------------------------------------
      9.4  18.7    11   -0.2     3     91.3 62.5  66.0    5.1   57.9       1   NNW
