8/7/2017,1, 08,32.5,35.8,13:50 29.9,02:30,54,36,0.0,12.1,41.8,10:50,NNE
8/8/2018,1, 09,28.7,31.6,14:00 26.4,05:30,63,42,0.0,16.3,53.1,16:00,N
10/10/2014,0.6, 11,19.8,24.1,13:50 16.4,06:30,78,42,0.0,5.1,32.2,13:50,NNW
3/29/2013,0.4,29,14.4,18.6,13:30,11.2,1:20,3.9,0.0,0.0,2.7,24.1,13:40,NNE
8/6/2014,0.1, 07,23.4,28.8,15:40 18.8,07:40,87,52,0.0,9.2,27.4,02:10,NNW
9/21/2016,0, 22,20.3,24.6,14:10 18.5,03:00,91,63,0.6,5.0,30.6,17:10,N
8/31/2017,15,------------------------------------------------------------------------------------
8/24/2014,8, 25,26.7,32.0,14:10 21.9,04:20,91,48,0.0,4.1,30.6,15:30,WSW
8/25/2014,2, 26,26.8,31.0,13:00 22.3,23:50,75,46,0.0,5.3,33.8,08:50,NNW
6/14/2016,20, 15,25.0,31.7,15:40 18.7,06:30,80,37,0.0,5.3,48.3,20:40,SE
4/6/2017,1, 07,13.6,19.3,13:30 10.7,05:20,92,53,7.8,2.4,24.1,11:10,SW
7/23/2018,0.5, 24,26.4,29.7,00:00 23.9,05:00,73,40,0.0,4.4,30.6,10:10,N
5/5/2017,0.3, 06,20.8,26.9,14:00 16.1,05:40,76,37,0.0,2.9,24.1,15:20,SW
8/19/2012,0.1,19,26.9,29.5,16:00,24.9,4:50,0.0,8.6,0.0,12.4,48.3,18:40,N
12/3/2016,0.1, 04,13.0,15.3,13:40 11.9,00:00,87,58,0.6,5.5,24.1,13:40,N
